2022-10-24 09:12:28,979 DEBUG        (node4812, node5376) - port: 4, 100GB, 0.0016ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node4972, node4972_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4812, node7732) - port: 4, 100GB, 0.005200000000000001ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node5317, node5317_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node4812, node7758) - port: 4, 100GB, 0.00485ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node5317, node5317_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node5771, node5600) - port: 4, 100GB, 0.0035499999999999998ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node4434, node4434_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node5771, node6631) - port: 4, 100GB, 0.0055000000000000005ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node4434, node4434_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node5771, node6735) - port: 4, 100GB, 0.0047ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node4812, node4812_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node6244, node5523) - port: 4, 100GB, 0.005350000000000001ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node4812, node4812_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node4402, node5315) - port: 2, 100GB, 0.00505ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node5771, node5771_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node5637, node5316) - port: 2, 100GB, 0.00435ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node5771, node5771_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node5880, node5318) - port: 2, 100GB, 0.0016ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node6244, node6244_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node4183, node5639) - port: 2, 100GB, 0.00395ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node6244, node6244_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node4696, node5314) - port: 2, 100GB, 0.0046ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node4402, node4402_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node3139, node5946) - port: 2, 100GB, 0.0027ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node4402, node4402_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node3139, node6816) - port: 2, 100GB, 0.0059499999999999996ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node5637, node5637_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node3139, node7241) - port: 2, 100GB, 0.006600000000000001ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node5637, node5637_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node3926, node6074) - port: 2, 100GB, 0.0046500000000000005ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node5880, node5880_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node6076, node5377) - port: 2, 100GB, 0.00415ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node5880, node5880_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node6076, node6508) - port: 2, 100GB, 0.005ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node4183, node4183_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node6076, node7457) - port: 2, 100GB, 0.0046500000000000005ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node4183, node4183_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node4913, node5297) - port: 2, 100GB, 0.00475ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node4696, node4696_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node6724, node6241) - port: 2, 100GB, 0.0033000000000000004ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node4696, node4696_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node7122, node5379) - port: 2, 100GB, 0.00395ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node3139, node3139_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
