   "MODEL_DETAIL_CONSTRAINTS": 632,
   "MODEL_DETAIL_BOOLEAN_VARS": 1431,
   "MODEL_DETAIL_KPIS": "[]",
   "STAT.cplex.size.integerVariables": 205,
   "STAT.cplex.size.continousVariables": 0,
   "STAT.cplex.size.linearConstraints": 632,
   "STAT.cplex.size.booleanVariables": 1431,
   "STAT.cplex.size.constraints": 632,
   "STAT.cplex.size.quadraticConstraints": 0,
   "STAT.cplex.size.variables": 1636,
   "STAT.cplex.modelType": "MILP",
   "MODEL_DETAIL_OBJECTIVE_SENSE": "minimize"
}
Version identifier: 22.1.0.0 | 2022-03-09 | 1a383f8ce
CPXPARAM_Read_DataCheck                          1
Found incumbent of value 68405.775000 after 0.00 sec. (0.22 ticks)
Tried aggregator 1 time.
MIP Presolve eliminated 230 rows and 93 columns.
MIP Presolve modified 8099 coefficients.
Reduced MIP has 393 rows, 1543 columns, and 21420 nonzeros.
Reduced MIP has 1543 binaries, 0 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.03 sec. (45.24 ticks)
Probing time = 0.00 sec. (5.11 ticks)
Tried aggregator 1 time.
Detecting symmetries...
MIP Presolve eliminated 120 rows and 60 columns.
Reduced MIP has 273 rows, 1483 columns, and 15672 nonzeros.
Reduced MIP has 1483 binaries, 0 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.01 sec. (13.15 ticks)
Probing time = 0.00 sec. (2.46 ticks)
Clique table members: 5446.
MIP emphasis: balance optimality and feasibility.
MIP search method: dynamic search.
Parallel mode: deterministic, using up to 6 threads.
Root relaxation solution time = 0.00 sec. (4.02 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap

*     0+    0                        68405.7750        0.0000           100.00%
      0     0    66049.6871    11    68405.7750    66049.6871      107    3.44%
*     0+    0                        66402.2334    66049.6871             0.53%
      0     0    66147.8309    22    66402.2334      Cuts: 94      175    0.38%
*     0+    0                        66181.3574    66147.8309             0.05%
      0     0        cutoff          66181.3574                    180    0.00%
Elapsed time = 0.10 sec. (98.33 ticks, tree = 0.01 MB, solutions = 3)

GUB cover cuts applied:  7
Clique cuts applied:  60
Cover cuts applied:  4
Flow cuts applied:  4
Zero-half cuts applied:  11
Gomory fractional cuts applied:  9

Root node processing (before b&c):
  Real time             =    0.10 sec. (98.46 ticks)
Parallel b&c, 6 threads:
  Real time             =    0.00 sec. (0.00 ticks)
  Sync time (average)   =    0.00 sec.
  Wait time (average)   =    0.00 sec.
                          ------------
Total (root+branch&cut) =    0.10 sec. (98.46 ticks)
2022-10-24 09:10:05,142 DEBUG    Notify end solve, status=JobSolveStatus.OPTIMAL_SOLUTION, solve_time=None
2022-10-24 09:10:05,143 DEBUG    ----- Activated Decision Variables:
2022-10-24 09:10:05,143 DEBUG    route=2, drc=10, bs=node5314_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=6, drc=10, bs=node5714_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=9, drc=10, bs=node6191_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=11, drc=10, bs=node7187_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=15, drc=10, bs=node7314_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=19, drc=10, bs=node3416_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=25, drc=10, bs=node4696_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=31, drc=10, bs=node5315_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=38, drc=10, bs=node3522_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=44, drc=10, bs=node5318_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=50, drc=10, bs=node6662_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=56, drc=10, bs=node3714_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=62, drc=10, bs=node4434_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=68, drc=10, bs=node5834_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=73, drc=10, bs=node3139_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=79, drc=10, bs=node3926_bs1 -> 1.0
2022-10-24 09:10:05,143 DEBUG    route=85, drc=10, bs=node5377_bs1 -> 1.0
